Title,Description,Page,Book
L0phtCrack,Old password cracking tool that lead to the creation of NTLMv2.,131,4
/etc/shadow,.,133,4
Crypt(3),Library used on most Linux and UNIX system to create password representations.,133,4
Linux Password Representations,.,133,4
BSDi Extended DES,Linux and UNIX password representation that starts with _.,133,4
Blowfish-based,Linux and UNIX password representation that starts with $2$ or $2a$.,133,4
DES password scheme,Traditional Linux and UNIX password representation.,134,4
MD5 password scheme,Password representation used on many modern Linux machines.,135,4
SHA-256 password scheme,Password representation used on many modern Linux machines.,135,4
SHA-512 password scheme,Password representation used on many modern Linux machines.,135,4
Unshadow,Tool included with John the Ripper to combine /etc/passwd and /etc/shadow to create a file suitable for cracking.,137,4
Hashdump,Method to pull Windows hashes from a Meterpreter session.,138-139,4
Mimikatz,Standalone tool to dump password hashes from the LSASS memory.,138; 146,4
Volume Shadow Copy (VSS),Microsoft feature to create a copy of the ntds.dit file.,138; 147-148,4
Syskey,Key located in Windows Registry and used to encrypt hashes on the file system.,138,4
VSSOwn,VBS program that lets you manage and control VSS.,147-148,4
John the Ripper,One of the most high-performance and flexible password cracking tools available.,5,5
John the Ripper - Jumbo Patch,Free patch that includes a lot of different algorithms.,5,5
John.conf,John the Ripper configuration file on Linux.,6,5
John.ini,John the Ripper configuration file on Windows.,6,5
John the Ripper – Modes,.,6,5
Password.lst,Default wordlist used by John the Ripper.,6,5
GECOS,Arbitrary blob of text associated with each user on Linux systems.,6,5
John.pot,John the Ripper loot file holding all cracked hashes and their cleartext password.,7,5
John.rec,John the Ripper recovery file for use in the event of a crash or to resume cracking where it left off.,8,5
John the Ripper – Status,.,9,5
John the Ripper – Optimization,.,10,5
John the Ripper – Distributed,.,11,5
GPU Password Cracking,.,12,5
CUDA,Compute Unified Device Architecture.,12,5
GPU MD5 password cracker,.,12,5
CUDA-multiforcer,Password cracking tool using GPU.,12,5
Aircrack-ng-CUDA,CUDA version of aircrack-ng.,12,5
Pyrit,Password cracking tool using GPU.,12,5
CoWPAtty,.,12,5
Hashcat,Multithreaded tool for cracking passwords on CPUs and GPUs.,13,5
Cain,Multi-usage Windows tool but its main focus is password cracking.,21,5
Cain – Password Cracking,.,22,5
Cain – Sniffers,.,23,5
Syskey,An extra encryption for Windows SAM or AD when stored in the file system.,24,5
ARP-Poisoned Routing,Classic ARP poisoning implemented in Cain.,24-25,5
Rainbow Table,Pre-encrypted dictionary used for password cracking.,32,5
Time-Memory Trade-Off,Trade off between time and memory required to crack passwords.,33,5
Rainbow Table – Requirements,.,35,5
Chains,Concept to build rainbow tables; set of password/hash relationships that are grouped together based on their relationships associated with hash functions and reduction functions.,37-38,5
Reduction Functions,Used to build rainbow tables; takes a hash and converts it into another potential password.,37,5
Rainbow Table – Building Process,.,37-39,5
Rainbow Table – Lookup,.,40-41,5
Rtgen,Rainbow table tool.,42,5
Precomp,Rainbow table tool part of Ophcrack.,42,5
Ophcrack,.,42,5
Pass-the-Hash,Technique to use a hash directly to authenticate instead of having to crack the password.,48-49,5
Pass-the-Ticket,Technique to inject a Kerberos ticket into memory to authenticate instead of having to crack the password.,50,5
Windows Credentials Editor (WCE),Tool to inject credentials (hashes) into memory in order to perform pass-the-hash.,50,5
PTH Toolkit,Old tool to inject credentials (hashes) into memory in order to perform pass-the-has.,50,5
Psexec (msf) – Pass-the-Hash,Metasploit psexec module natively supports using hashes instead of passwords.,51,5
Password Attacks,When to use each password attack technique?,57,5
Web App,Definition of what is considered a web app.,60,5
Nikto,Web vulnerability scanner focused exclusively on web server vulnerabilities.,62-63,5
Wikto,Windows port of Nikto in the .NET Framework.,63,5
Nikto – Commands,.,64,5
Nikto – Test Categories,.,65-66,5
ZAP Proxy,OWASP tool that provides a non-transparent HTTP and HTTPS proxy between an attacker and the target website.,71-75,5
ZAP Proxy – Scanner,.,73,5
ZAP Proxy – Encoding and Hash,.,74,5
Burp Proxy,.,76,5
W3af,Web Application Attack and Audit Framework.,76,5
Fiddler,Proxy tool for the analysis of HTTP requests and responses.,76,5
Mallory,Supports breakpoint feature for any TCP or UDP based protocol exchange; not just for HTTP or HTTPS.,76,5
WebScarab,.,76,5
Odysseus,.,76,5
Telemachus,.,76,5
Injection Attacks,Involve an attacker sending user input that includes instructions mixed with data.,84,5
Cross-Site Request Forgery (XSRF/CSRF),Makes the browser access another site and engage in a transaction on that other site.,86; 90,5
XSRF,See Cross-Site Request Forgery.,86; 90,5
CSRF,See Cross-Site Request Forgery.,86; 90,5
Anti-XSRF Token,Special unique value passed to the browser element at each stage of interaction with a user.,90,5
Cross-Site Scripting (XSS),Inject a browser script into a website to deliver the script to a victim’s browser.,99-100,5
XSS,See Cross-Site Scripting.,99-100,5
XSS – Steal Cookies,Grab cookies from the victim’s browser and sends them to the attacker.,101,5
XSS – Attacking Internal Systems,Make a browser conduct a scan or attack of an internal network.,102,5
Jikto,Performs a Nikto scan of internal websites using XSS functionality.,102,5
BeEF,Browser Exploitation Framework; offers a modular framework of features for controlling browsers via an XSS hook.,103,5
XSS Shell,Shell on a victim’s browser via XSS.,103,5
Reflected XSS,XSS directly reflected back from a request to the response.,104-105,5
Stored XSS,XSS stored and then reflected back in a later response from a different request.,104; 106,5
SPI Dynamics,Suite of tools which includes the capability to detect stored XSS.,107,5
XSS – Encoding,Technique to bypass XSS protection that filters specific input characters.,108,5
Xssed.com,Website with numerous XSS example and articles.,108,5
Command Injection,Piggyback shell commands with user input to make the target machine run them.,117-118,5
Command Injection – ping,.,118-120,5
P0f,Free passive OS fingerprinting tool.,119,5
Relational database,.,129,5
SQL Injection,Involve an attacker sending user input that includes SQL instructions mixed with data.,129-130,5
Sqlmap,Free tool to automate the SQL injection testing process.,131; 140,5
SQL Injection – Testing Process,.,131,5
SQL Injection – Find Flaw,.,132,5
Intruder (Burp),Burp Suite module allowing to scan for SQL injection flaws.,132,5
Structured Query Language (SQL),.,133,5
SQL – Useful Statements,.,134-136,5
SQL – Query Database Structure,.,137,5
SQL Injection – Command Execution,.,138,5
SQL Injection (Blind),SQL injection where you cannot see output of SQL queries or even explicit error message.,139-140,5
Absinth,Tool to automate blind SQL injection,140,5
